easting0 [km], northing0 [km], easting1 [km], northing1 [km]
2.6018899e+02, 5.8556668e+02, 2.6042055e+02, 5.8984499e+02
2.6295133e+02, 5.9695405e+02, 2.6546316e+02, 5.9685044e+02
2.4775386e+02, 5.8047299e+02, 2.5096660e+02, 5.7763425e+02
2.5126780e+02, 5.7922021e+02, 2.5045618e+02, 5.7340295e+02
2.5498847e+02, 6.0914329e+02, 2.5523041e+02, 6.0700270e+02
2.3745746e+02, 6.0402780e+02, 2.3960148e+02, 6.0443424e+02
2.6847332e+02, 5.7694883e+02, 2.6836937e+02, 5.7303418e+02
2.4436612e+02, 5.8459847e+02, 2.4783098e+02, 5.8122646e+02
2.6743368e+02, 5.8032209e+02, 2.6902662e+02, 5.8247111e+02
2.4419707e+02, 5.9313294e+02, 2.4428214e+02, 5.9054982e+02
2.4767182e+02, 5.8147216e+02, 2.5041966e+02, 5.8144851e+02
2.5222433e+02, 5.8983684e+02, 2.5317464e+02, 5.8782797e+02
2.2829724e+02, 6.0447331e+02, 2.3611995e+02, 5.9611237e+02
2.4702304e+02, 6.0030164e+02, 2.5189893e+02, 5.9921747e+02
2.6236477e+02, 5.7557327e+02, 2.6436394e+02, 5.7443294e+02
2.5291996e+02, 5.8108178e+02, 2.5369513e+02, 5.7910167e+02
2.4134785e+02, 5.8437878e+02, 2.4318354e+02, 5.8348513e+02
2.3095279e+02, 5.8929015e+02, 2.3443334e+02, 5.8682495e+02
2.4852498e+02, 5.9356913e+02, 2.4924047e+02, 5.9133342e+02
2.6014592e+02, 5.9732233e+02, 2.6357895e+02, 5.8575560e+02
2.5948716e+02, 6.0244611e+02, 2.6069857e+02, 5.9898113e+02
2.4447374e+02, 5.9936649e+02, 2.4611439e+02, 5.9742763e+02
2.4642873e+02, 5.9391211e+02, 2.4655738e+02, 5.9103355e+02
2.6789395e+02, 5.8279029e+02, 2.6746824e+02, 5.7956444e+02
2.3183328e+02, 5.7657898e+02, 2.3602042e+02, 5.7762590e+02
2.4112199e+02, 5.8649373e+02, 2.4153249e+02, 5.8430847e+02
2.3488722e+02, 5.9430886e+02, 2.3981592e+02, 5.8923518e+02
2.3826189e+02, 6.1500185e+02, 2.4519404e+02, 6.1220319e+02
2.4228942e+02, 6.0231361e+02, 2.4341831e+02, 6.0057059e+02
2.3750912e+02, 6.1359054e+02, 2.4217365e+02, 6.1102555e+02
2.3778353e+02, 5.9107152e+02, 2.3995208e+02, 5.8871106e+02
2.5092342e+02, 5.9274554e+02, 2.5172065e+02, 5.8999308e+02
2.3993934e+02, 5.8566543e+02, 2.4033337e+02, 5.7555008e+02
2.4152481e+02, 5.8894873e+02, 2.4804275e+02, 5.9038025e+02
2.4272649e+02, 5.8178730e+02, 2.4313338e+02, 5.7775735e+02
2.3400543e+02, 5.9816164e+02, 2.3579218e+02, 5.9596926e+02
2.5956960e+02, 5.8156880e+02, 2.6358190e+02, 5.8237776e+02
2.6339971e+02, 5.8950943e+02, 2.6478020e+02, 5.8431915e+02
2.4509973e+02, 5.7619150e+02, 2.4865059e+02, 5.7606181e+02
2.4406462e+02, 5.9555733e+02, 2.4592455e+02, 5.9442595e+02
2.3198976e+02, 6.1256851e+02, 2.3606131e+02, 6.1138751e+02
2.3360491e+02, 6.0789151e+02, 2.3718291e+02, 6.0865404e+02
2.3216873e+02, 6.1159251e+02, 2.3444459e+02, 6.1041701e+02
2.2954947e+02, 5.9695693e+02, 2.3084750e+02, 5.9441854e+02
2.5901928e+02, 5.9548243e+02, 2.5896680e+02, 5.9221805e+02
2.4761234e+02, 5.9923325e+02, 2.5204263e+02, 5.9850372e+02
2.3659009e+02, 6.1588230e+02, 2.4087262e+02, 6.1174977e+02
2.3850108e+02, 5.7450249e+02, 2.3892964e+02, 5.7210496e+02
2.4012282e+02, 6.0264117e+02, 2.4255179e+02, 6.0139757e+02
2.5798556e+02, 6.1242604e+02, 2.5961858e+02, 6.1037818e+02
2.5841237e+02, 5.7216681e+02, 2.5870174e+02, 5.7593501e+02
2.3135798e+02, 6.1150726e+02, 2.3221705e+02, 6.0770619e+02
2.5523802e+02, 5.8992779e+02, 2.5764862e+02, 5.8970063e+02
2.4379637e+02, 5.7328488e+02, 2.5015776e+02, 5.7438631e+02
2.4567201e+02, 5.9239797e+02, 2.4605810e+02, 5.9522474e+02
2.4118296e+02, 5.8249637e+02, 2.4375852e+02, 5.8164280e+02
2.5052294e+02, 5.8132462e+02, 2.5618216e+02, 5.8095980e+02
2.3793756e+02, 5.9756098e+02, 2.3981973e+02, 5.9834619e+02
2.5734232e+02, 5.9012633e+02, 2.6016277e+02, 5.8759497e+02
2.6373537e+02, 5.7374217e+02, 2.6425036e+02, 5.7156236e+02
2.3790343e+02, 5.7982317e+02, 2.3992851e+02, 5.7955544e+02
2.4213327e+02, 5.7012735e+02, 2.5584617e+02, 5.7176339e+02
2.4122365e+02, 5.9892359e+02, 2.4339748e+02, 5.9953763e+02
2.4462588e+02, 5.7777022e+02, 2.4855704e+02, 5.7752958e+02
2.3932713e+02, 5.8703909e+02, 2.4115712e+02, 5.8592457e+02
2.6530817e+02, 5.7753142e+02, 2.6816589e+02, 5.7782492e+02
2.4384333e+02, 6.0477761e+02, 2.4873955e+02, 5.9731139e+02
2.3059698e+02, 6.0768905e+02, 2.3361764e+02, 6.0759836e+02
2.5593657e+02, 6.1281954e+02, 2.5621826e+02, 6.1504743e+02
2.6840228e+02, 5.8284889e+02, 2.6876995e+02, 5.8576911e+02
2.4129960e+02, 6.0866640e+02, 2.4587671e+02, 6.0844061e+02
2.3179979e+02, 5.7496692e+02, 2.3662785e+02, 5.7556170e+02
2.6239800e+02, 5.7767889e+02, 2.6263293e+02, 5.7970016e+02
2.6108176e+02, 5.8874926e+02, 2.6480991e+02, 5.8350358e+02
2.6609557e+02, 5.8911000e+02, 2.6702139e+02, 5.8543082e+02
2.4229948e+02, 5.9749008e+02, 2.4565572e+02, 5.9272739e+02
2.5518126e+02, 6.1289143e+02, 2.5823945e+02, 6.1258084e+02
2.3560457e+02, 5.8706736e+02, 2.3807222e+02, 5.8311148e+02
2.5284635e+02, 5.7036688e+02, 2.5527722e+02, 5.7248176e+02
2.5175826e+02, 6.0171088e+02, 2.5731636e+02, 6.0042871e+02
